dep,1=的
ift,1=趁
lyj,1=铃
yac,1=芽
rsu,1=溶
jtk,1=嚼
ivp,1=垂
yiu,1=溢
bjb,1=颁
gvz,1=跪
div,1=狄
vlw,1=斋
sau,1=洒
jcn,1=娇
jwj,1=钾
kjh,1=刊
yjk,1=咽
cib,1=磁
yif,1=抑
yan,1=娅
jrn,1=娟
ijd,1=禅
zbh,1=奏
ypb,1=匀
mig,1=弥
vjg,1=詹
hkl,1=昊
hyu,1=淮
uwh,1=耍
hjd,1=罕
tim,1=梯
xrq,1=炫
buf,1=捕
pgc,1=蓬
kom,1=阔
yux,1=愉
kfk,1=啃
sgr,1=僧
yhz,1=痒
wlh,1=歪
lvv,1=驴
grv,1=贯
pow,1=珀
wux,1=悟
yaf,1=押
hsc,1=轰
lvu,1=滤
iiv,1=驰
zkq,1=燥
any,1=胺
nyd,1=凝
vfm,1=枕
llu,1=濑
zjf,1=攒
ljs,1=览
ykw,1=瑶
mcf,1=描
ybv,1=犹
kak,1=咖
yrf,1=援
spg,1=笋
lvp,1=氯
tjr,1=贪
ivj,1=锤
ugi,1=绳
nds,1=酿
nts,1=虐
jqi,1=纠
bfg,1=笨
piy,1=脾
ggm,1=梗
jmb,1=碱
yuu,1=渔
xqd,1=袖
rur,1=儒
bfc,1=苯
mzy,1=霉
lxv,1=猎
lod,1=裸
eek,1=鄂
hkt,1=郝
mml,1=眠
byq,1=炳
lkb,1=牢
lcf,1=撩
uai,1=纱
vex,1=遮
nxh,1=聂
dja,1=诞
wzx,1=惟
ybg,1=幽
paz,1=趴
yii,1=矣
nme,1=黏
vsd,1=冢
ihr,1=偿
yrn,1=媛
hdl,1=晃
vhj,1=帐
bky,1=胞
bhi,1=绑
ykb,1=窑
yjn,1=妍
hlk,1=嗨
puc,1=葡
vdm,1=桩
pgm,1=棚
wao,1=蛙
ipu,1=淳
xmy,1=腺
lny,1=霖
idm,1=闯
jum,1=橘
ykh,1=尧
qmr,1=倩
tyv,1=艇
cjq,1=灿
lnb,1=磷
bgb,1=泵
hsk,1=哄
xyy,1=腥
dbz,1=痘
bgg,1=崩
yem,1=椰
hdq,1=煌
xxl,1=歇
tsg,1=筒
dbp,1=兜
zkk,1=噪
yba,1=诱
bov,1=剥
mnm,1=闽
zhc,1=葬
hrq,1=焕
xym,1=杏
vhy,1=胀
yjy,1=腌
tsp,1=彤
rbf,1=揉
rkf,1=扰
lay,1=腊
fap,1=乏
qtx,1=雀
xxu,1=泄
lhx,1=廊
sik,1=嗣
hbk,1=喉
put,1=埔
suv,1=肃
zim,1=梓
gbj,1=钩
xqi,1=绣
lis,1=栗
ffl,1=奋
mmi,1=绵
cgz,1=蹭
igu,1=澄
hvl,1=晖
luc,1=芦
naj,1=钠
ulg,1=筛
yrp,1=怨
vuj,1=铸
iji,1=缠
jmy,1=艰
ghm,1=杠
yjr,1=衍
cug,1=簇
zsm,1=棕
jpj,1=钧
yhr,1=仰
ruc,1=茹
mfq,1=焖
mou,1=沫
lmb,1=帘
bkp,1=豹
ikv,1=巢
uje,1=陕
vve,1=坠
jis,1=冀
bow,1=玻
xpp,1=熏
tjz,1=痰
ype,1=陨
vks,1=罩
tjg,1=炭
qmc,1=茜
pjl,1=盼
pjm,1=攀
mzj,1=镁
jcf,1=搅
hfz,1=痕
ljf,1=拦
xwg,1=峡
xil,1=曦
tyu,1=汀
bmb,1=贬
yad,1=丫
bxd,1=憋
pop,1=迫
mia,1=谜
toe,1=陀
jna,1=谨
gvb,1=硅
hdx,1=慌
bhb,1=磅
wjn,1=婉
jcs,1=饺
tjk,1=叹
ibr,1=仇
fjm,1=樊
aiw,1=哀
nih,1=匿
luf,1=撸
jup,1=矩
aor,1=傲
gyp,1=乖
dyj,1=钉
wzw,1=玮
jmz,1=践
ybp,1=釉
kvc,1=葵
lig,1=鲤
bac,1=芭
yuk,1=喻
xib,1=兮
uag,1=煞
xuc,1=蓄
qud,1=祛
qcr,1=侨
xxp,1=卸
hvx,1=恢
yup,1=禹
jyg,1=鲸
aos,1=凹
dbb,1=窦
dmb,1=碘
ouc,1=藕
kek,1=咳
rks,1=饶
lao,1=蜡
aif,1=挨
jwc,1=茄
vyf,1=拽
vbk,1=咒
hkp,1=皓
uul,1=暑
lyc,1=菱
vfr,1=侦
hod,1=祸
ivm,1=椎
ypc,1=芸
luw,1=璐
lbk,1=喽
pis,1=屁
yag,1=崖
vof,1=捉
lik,1=哩
wuf,1=捂
shf,1=丧
xxm,1=械
bas,1=罢
idj,1=幢
vhh,1=丈
lij,1=锂
yjf,1=掩
lzi,1=垒
jtp,1=爵
ynb,1=寅
yuc,1=芋
hrm,1=桓
qmf,1=乾
jid,1=脊
rsi,1=绒
ysk,1=咏
mck,1=喵
zkc,1=藻
ckd,1=糙
gsf,1=拱
jdh,1=匠
xnl,1=昕
yiz,1=疫
top,1=妥
hgk,1=哼
skv,1=骚
lnf,1=拎
bym,1=柄
lxx,1=劣
som,1=梭
tlc,1=苔
ifd,1=衬
tlj,1=钛
vap,1=乍
vhr,1=仗
duj,1=镀
juq,1=焗
kbb,1=寇
vgl,1=睁
yus,1=虞
jtf,1=掘
fft,1=坟
jmh,1=歼
ysw,1=雍
lju,1=澜
pzu,1=沛
mik,1=咪
gar,1=伽
upl,1=瞬
wjy,1=腕
hzk,1=嘿
ggd,1=羹
yin,1=姨
jcb,1=礁
gpm,1=棍
anp,1=氨
bzp,1=卑
yio,1=蚁
mzc,1=莓
anx,1=庵
lng,1=鳞
keu,1=渴
tps,1=臀
grc,1=莞
zku,1=澡
uel,1=奢
igl,1=晟
gej,1=铬
fam,1=阀
vou,1=浊
bcs,1=彪
nof,1=挪
nyf,1=拧
mbi,1=牟
lcb,1=寮
aib,1=碍
rjs,1=冉
xwv,1=狭
gvt,1=圭
blr,1=佰
tjm,1=檀
dpt,1=墩
xiq,1=烯
wzq,1=炜
juv,1=驹
liu,1=沥
gwt,1=卦
qnu,1=沁
hpp,1=昏
qwf,1=掐
yjm,1=阎
muu,1=沐
vkd,1=肇
jpg,1=峻
dmu,1=滇
pik,1=啤
vku,1=沼
bgz,1=蹦
ijs,1=馋
ysx,1=庸
piz,1=疲
seu,1=涩
ggx,1=庚
kvp,1=魁
dxk,1=嗲
xdj,1=镶
hpc,1=荤
qmk,1=遣
mjc,1=蔓
tsf,1=捅
zsz,1=踪
ybd,1=祐
ffs,1=酚
ynk,1=吟
yuj,1=钰
moe,1=陌
cfg,1=岑
mxk,1=咩
xcb,1=硝
rfh,1=韧
gjw,1=赣
wad,1=袜
vaa,1=诈
lkq,1=烙
bje,1=阪
liv,1=隶
tot,1=坨
mcl,1=瞄
sid,1=祀
kjr,1=侃
jnw,1=瑾
fzu,1=沸
vjh,1=盏
dyk,1=叮
yed,1=冶
coh,1=厝
drj,1=锻
yrv,1=猿
vfh,1=臻
pjt,1=畔
ync,1=茵
ynn,1=姻
vam,1=闸
qii,1=绮
qcl,1=瞧
fzk,1=啡
nqn,1=妞
lbd,1=娄
ibs,1=酬
wjf,1=挽
vjm,1=栈
gud,1=雇
jux,1=惧
tkc,1=萄
dug,1=笃
viz,1=痣
tyy,1=霆
qxb,1=窃
vuo,1=蛛
nxj,1=镍
lyi,1=绫
lov,1=骆
zok,1=唑
ikj,1=钞
vrf,1=撰
rsm,1=榕
ceh,1=厕
bmc,1=鞭
hsq,1=烘
vhm,1=杖
kum,1=枯
ykj,1=钥
mzw,1=玫
iiz,1=痴
klm,1=楷
jtc,1=蕨
ujf,1=擅
ynz,1=瘾
lkr,1=佬
ynu,1=淫
jdr,1=僵
fhi,1=纺
nmb,1=碾
boj,1=钵
ffp,1=氛
vjl,1=瞻
lgm,1=棱
rvc,1=蕊
hwm,1=桦
qms,1=黔
teh,1=忒
vie,1=秩
jyn,1=婧
qdk,1=呛
hug,1=弧
ifw,1=琛
qis,1=歧
ssg,1=嵩
mgx,1=懵
lat,1=垃
kvu,1=溃
urm,1=栓
ley,1=肋
tsl,1=瞳
ijj,1=铲
hao,1=蛤
zbf,1=揍
qdd,1=羌
dcg,1=鲷
ujy,1=膳
tid,1=剃
xpb,1=旬
nkf,1=挠
eeg,1=鳄
jmn,1=奸
xcy,1=霄
juj,1=锯
bcl,1=飙
crb,1=窜
yka,1=谣
lks,1=酪
vby,1=肘
svs,1=髓
pbw,1=剖
uun,1=恕
hvc,1=荟
ers,1=饵
ifb,1=宸
uim,1=柿
lgx,1=愣
mip,1=觅
xid,1=禧
vvj,1=锥
ijo,1=蝉
cjf,1=掺
dil,1=睇
gef,1=搁
pxf,1=撇
xqk,1=嗅
fzh,1=匪
gfx,1=艮
pgw,1=烹
miu,1=泌
xxy,1=胁
tsr,1=佟
gjf,1=擀
qiy,1=脐
tkh,1=韬
skn,1=嫂
bug,1=簿
hjq,1=焊
ykl,1=曜
yiy,1=胰
nkx,1=恼
fjb,1=贩
but,1=埠
voq,1=灼
kox,1=廓
myd,1=冥
xig,1=玺
zkz,1=躁
wut,1=坞
wjq,1=烷
chu,1=沧
bzc,1=蓓
kpf,1=捆
bux,1=怖
qib,1=砌
ybk,1=呦
xqj,1=锈
xck,1=啸
hlw,1=亥
vsw,1=衷
gwb,1=寡
yau,1=涯
dkf,1=捣
yuq,1=煜
xmd,1=羡
igr,1=惩
nsy,1=脓
yrd,1=冤
qwu,1=洽
lsu,1=泷
fhy,1=肪
ssr,1=怂
jta,1=诀
bix,1=庇
kwt,1=垮
ybm,1=柚
xpu,1=汛
kdh,1=匡
uod,1=朔
hym,1=槐
lxk,1=咧
vka,1=诏
dgz,1=蹬
pur,1=仆
xpc,1=薰
pkd,1=袍
uhq,1=熵
nym,1=柠
yum,1=榆
ssa,1=诵
yeq,1=烨
nsr,1=侬
iip,1=斥
hvq,1=烩
cvf,1=摧
dgl,1=瞪
xcv,1=骁
ffx,1=愤
anc,1=鞍
pzy,1=胚
ruh,1=辱
dlv,1=逮
vbb,1=宙
uub,1=赎
nqj,1=钮
xrz,1=癣
dmg,1=巅
iyz,1=踹
myc,1=茗
gbc,1=苟
vfd,1=祯
qnb,1=寝
dxp,1=迭
bhj,1=镑
bhr,1=傍
kjc,1=勘
hdj,1=凰
qcx,1=悄
klx,1=恺
wau,1=洼
jqf,1=揪
mcu,1=淼
een,1=娥
idz,1=疮
ukw,1=韶
uux,1=庶
ghy,1=肛
jyu,1=泾
hkc,1=蒿
gjg,1=竿
gva,1=诡
guu,1=沽
dkz,1=蹈
kvs,1=馈
hko,1=蚝
ukk,1=哨
djh,1=耽
lhw,1=琅
xio,1=蜥
lum,1=麓
cvc,1=萃
eeo,1=蛾
dcv,1=刁
zks,1=凿
svi,1=绥
doe,1=堕
ysr,1=佣
yue,1=隅
pak,1=啪
tov,1=驼
ugg,1=笙
krs,1=髋
hjl,1=旱
wum,1=梧
hjx,1=憾
kjm,1=槛
dbe,1=陡
tue,1=秃
yuz,1=瘀
suu,1=溯
vfz,1=疹
yyo,1=蝇
dpj,1=钝
baz,1=疤
fhn,1=妨
bkw,1=褒
bni,1=缤
qnf,1=擒
kub,1=窟
vkj,1=钊
boy,1=脖
tii,1=缇
xqu,1=溴
jnc,1=靳
pit,1=毗
jcv,1=骄
jxd,1=羯
rsq,1=熔
mjg,1=鳗
jxw,1=竭
ytw,1=玥
bho,1=蚌
kvb,1=窥
zhh,1=臧
ffu,1=汾
wzu,1=渭
ltf,1=掠
tlu,1=汰
iih,1=耻
fuo,1=蝠
rfp,1=壬
qul,1=瞿
ipm,1=椿
ibi,1=绸
pkb,1=刨
dxa,1=谍
grm,1=棺
vbs,1=昼
sbk,1=嗖
cvd,1=粹
nmc,1=廿
tjs,1=覃
lbf,1=搂
gah,1=尬
dmd,1=奠
kdg,1=筐
gbt,1=垢
lkk,1=唠
bcn,1=婊
lda,1=谅
mgj,1=锰
qqs,1=囚
ffm,1=焚
tvd,1=褪
luu,1=泸
vgj,1=铮
mkm,1=懋
xuh,1=戌
jpu,1=浚
din,1=嫡
vvi,1=缀
dul,1=睹
xmc,1=藓
qix,1=麒
lnd,1=凛
ypg,1=筠
dps,1=囤
kec,1=轲
jsq,1=炯
tjp,1=毯
gvw,1=瑰
xxo,1=蝎
tpy,1=豚
kyg,1=筷
spr,1=隼
xut,1=墟
qxw,1=妾
ieu,1=澈
qcf,1=撬
wuv,1=毋
puw,1=璞
jma,1=谏
sar,1=仨
nkw,1=瑙
bgi,1=绷
tou,1=沱
xuv,1=胥
puk,1=噗
lzk,1=嘞
lsf,1=拢
khd,1=糠
qtm,1=阙
bhy,1=膀
luk,1=噜
uju,1=汕
ibl,1=瞅
bic,1=蔽
sow,1=琐
iyf,1=揣
hda,1=谎
enf,1=摁
vuq,1=烛
xuk,1=嘘
hvb,1=贿
iiq,1=炽
lah,1=剌
hyz,1=踝
anj,1=铵
kdl,1=旷
siu,1=泗
ybj,1=铀
lll,1=睐
jcp,1=矫
ilj,1=钗
xun,1=絮
lpi,1=纶
kep,1=氪
kex,1=恪
ybz,1=疣
bkz,1=孢
pgu,1=澎
mnw,1=珉
lrw,1=銮
zow,1=琢
juk,1=咀
lpu,1=沦
kpw,1=琨
jrr,1=倦
whm,1=枉
klj,1=铠
lmr,1=敛
rpm,1=闰
rht,1=壤
mil,1=眯
csb,1=匆
loj,1=锣
dov,1=舵
tmx,1=恬
pnn,1=嫔
mzl,1=昧
buk,1=哺
lub,1=碌
ouk,1=呕
urf,1=拴
bhu,1=浜
qcb,1=窍
lji,1=缆
mnl,1=旻
ukm,1=梢
guk,1=咕
xin,1=媳
pyp,1=乒
slg,1=鳃
mxv,1=乜
moa,1=谟
jtg,1=崛
ioi,1=绰
qyh,1=顷
xrj,1=铉
jnd,1=襟
guj,1=钴
vji,1=绽
bzq,1=焙
puy,1=脯
qcc,1=鞘
hvk,1=喙
jml,1=睑
ybc,1=莜
jpw,1=珺
lek,1=叻
dkx,1=悼
kwy,1=胯
ahs,1=盎
qrc,1=荃
kvx,1=愧
fui,1=缚
eec,1=莪
zin,1=姊
fzi,1=绯
sly,1=腮
pod,1=粕
zod,1=祚
yyu,1=瀛
kkf,1=拷
uoq,1=烁
mix,1=靡
rhk,1=嚷
wor,1=倭
lku,1=涝
jri,1=绢
tix,1=惕
bxz,1=瘪
xww,1=瑕
pzk,1=呸
tiu,1=涕
vub,1=贮
jco,1=蛟
dsk,1=咚
xsb,1=匈
hva,1=讳
tik,1=啼
qup,1=躯
bcd,1=裱
bji,1=绊
khw,1=亢
duk,1=嘟
dsr,1=侗
val,1=眨
shk,1=嗓
hob,1=豁
gkj,1=镐
pgg,1=篷
qrj,1=铨
njk,1=喃
tis,1=屉
wuj,1=钨
dkk,1=叨
bik,1=吡
thy,1=膛
lof,1=摞
muj,1=钼
jth,1=厥
iir,1=侈
irj,1=钏
uhh,1=殇
dia,1=谛
fga,1=讽
qqg,1=鳅
qra,1=诠
low,1=珞
pus,1=圃
kfx,1=垦
xri,1=绚
yey,1=腋
jxl,1=睫
bnh,1=殡
nhs,1=馕
wfz,1=瘟
pcn,1=嫖
kbc,1=蔻
bop,1=帛
zeh,1=仄
hwv,1=骅
cku,1=漕
gvv,1=癸
mkh,1=髦
zlg,1=崽
lyh,1=聆
zrg,1=纂
vak,1=喳
fgu,1=沣
qnk,1=嗪
hlp,1=氦
ujn,1=姗
muf,1=拇
lkn,1=姥
bze,1=陂
qdq,1=炝
hrb,1=寰
tjl,1=昙
tsu,1=潼
xir,1=僖
ubi,1=绶
jww,1=珈
bmh,1=匾
ijm,1=阐
uuf,1=抒
thr,1=倘
hwk,1=哗
ihd,1=昶
jik,1=叽
yso,1=蛹
pjo,1=蟠
bcj,1=镖
vuk,1=嘱
kdx,1=邝
xyv,1=猩
qxx,1=怯
nmf,1=捻
bad,1=粑
sji,1=叁
mns,1=皿
vec,1=辙
dhj,1=铛
taf,1=挞
huw,1=瑚
qtc,1=鹊
pac,1=葩
wuc,1=芜
mob,1=寞
xrl,1=眩
lkg,1=崂
hhl,1=夯
guo,1=蛊
fuq,1=麸
hdg,1=簧
yki,1=幺
mho,1=蟒
yps,1=熨
tuc,1=荼
kks,1=尻
wzj,1=帷
bmq,1=煸
lvf,1=捋
csw,1=琮
bcy,1=膘
vrg,1=篆
xrk,1=喧
gsp,1=躬
xtg,1=鳕
fhm,1=枋
saw,1=飒
eel,1=遏
lsw,1=珑
khq,1=炕
dun,1=妒
hjc,1=邯
vvq,1=赘
vig,1=峙
mao,1=蚂
rfn,1=妊
paw,1=琶
xxx,1=懈
crz,1=蹿
tyq,1=烃
eea,1=讹
eru,1=洱
mnf,1=抿
dii,1=缔
lok,1=啰
gju,1=淦
ivf,1=捶
tkk,1=饕
jdi,1=绛
mjo,1=螨
iig,1=弛
lbe,1=陋
dli,1=怠
mis,1=醚
xul,1=煦
php,1=乓
jrk,1=鹃
hdw,1=璜
bah,1=耙
wuo,1=蜈
zah,1=匝
yef,1=掖
biz,1=痹
qur,1=衢
gey,1=膈
kvt,1=逵
jtw,1=珏
xds,1=饷
gug,1=箍
byw,1=禀
juu,1=沮
nxc,1=孽
qws,1=髂
dan,1=妲
jxa,1=诫
huo,1=蝴
jye,1=阱
fgq,1=烽
jwe,1=稼
tok,1=唾
qdc,1=蔷
ufn,1=婶
woo,1=蜗
wgk,1=嗡
xcp,1=枭
aok,1=嗷
dmz,1=癫
xmv,1=舷
ibt,1=畴
wlg,1=崴
iuf,1=矗
mbl,1=眸
ybb,1=宥
aof,1=拗
ans,1=黯
slk,1=噻
gsy,1=肱
zrf,1=攥
zpm,1=樽
qro,1=蜷
bmu,1=汴
kpg,1=鲲
ncy,1=脲
tve,1=颓
ifk,1=嗔
lzj,1=镭
mqa,1=谬
zhb,1=赃
lcr,1=僚
vok,1=啄
jxp,1=桀
bog,1=箔
ijn,1=婵
ror,1=偌
dcd,1=凋
vsz,1=踵
dhd,1=裆
cik,1=呲
dau,1=沓
hve,1=秽
kgj,1=铿
kvf,1=揆
zba,1=诹
qme,1=阡
vul,1=瞩
tvo,1=蜕
gje,1=秆
hhw,1=珩
lib,1=砺
dgk,1=噔
ivq,1=炊
ckk,1=嘈
yyi,1=缨
qqd,1=酋
cir,1=伺
qqc,1=萩
lnc,1=蔺
yiq,1=熠
dhb,1=宕
jcz,1=跤
crg,1=篡
tam,1=榻
ifa,1=谌
lmu,1=濂
uet,1=赦
wzm,1=桅
fhv,1=舫
uue,1=黍
hdo,1=蝗
yar,1=衙
dim,1=棣
gev,1=舸
dok,1=哆
aie,1=隘
lzf,1=擂
dik,1=嘀
bff,1=贲
ioc,1=辍
sky,1=臊
jtr,1=倔
dlh,1=殆
sbs,1=馊
ysj,1=镛
jyy,1=胫
tom,1=椭
tor,1=佗
lpf,1=抡
gav,1=尕
uwk,1=唰
eef,1=扼
dri,1=缎
qmb,1=骞
iuj,1=锄
fag,1=筏
xci,1=绡
jwz,1=痂
lyu,1=泠
crp,1=汆
ggt,1=埂
glh,1=丐
lio,1=蛎
qcg,1=峭
ynt,1=垠
kvk,1=喹
iux,1=怵
kjg,1=崁
dot,1=垛
djk,1=啖
aot,1=坳
rsj,1=镕
xmo,1=蚬
vij,1=帜
lvm,1=闾
eey,1=腭
pir,1=僻
vem,1=柘
wul,1=晤
hls,1=骸
bgh,1=甭
nls,1=迺
cjw,1=璨
pip,1=貔
xmz,1=痫
mnu,1=泯
hes,1=壑
isj,1=铳
huc,1=葫
hdu,1=湟
xru,1=渲
mzb,1=寐
sok,1=嗦
lxd,1=冽
gka,1=诰
xqp,1=貅
mng,1=岷
nlc,1=萘
sou,1=娑
hrg,1=奂
qca,1=谯
ukf,1=捎
pho,1=螃
yea,1=谒
rfs,1=饪
tpg,1=鲀
bzx,1=悖
qcz,1=跷
hea,1=诃
rfe,1=稔
yhq,1=炀
xqm,1=朽
yaa,1=讶
ytj,1=钺
nil,1=昵
vek,1=啫
rsg,1=嵘
god,1=粿
tcl,1=眺
dup,1=犊
pxd,1=瞥
ssu,1=淞
sbp,1=叟
yao,1=蚜
voj,1=镯
hru,1=浣
ntz,1=疟
gdk,1=咣
baj,1=钯
uix,1=恃
cuv,1=猝
vfc,1=斟
ruz,1=孺
hlv,1=骇
jwg,1=岬
rsd,1=冗
gfh,1=亘
sah,1=卅
hjs,1=酣
vej,1=锗
ana,1=谙
fzd,1=扉
nok,1=喏
pin,1=媲
lmg,1=鲢
zgx,1=憎
ujz,1=疝
ysz,1=踊
jni,1=缙
fgr,1=俸
hjm,1=阚
zjw,1=瓒
gdy,1=胱
aod,1=袄
yat,1=垭
mmn,1=娩
gfk,1=哏
bag,1=笆
qtz,1=瘸
xph,1=殉
jss,1=迥
aiy,1=霭
liz,1=痢
lcq,1=燎
lru,1=滦
svl,1=睢
gpw,1=衮
dpu,1=沌
ges,1=骼
mmu,1=沔
bzf,1=孛
lbj,1=镂
hyr,1=徊
kvd,1=夔
zky,1=蚤
ciz,1=疵
rhw,1=瓤
jyz,1=痉
ihn,1=娼
ijf,1=搀
ujb,1=赡
qdj,1=锵
upk,1=吮
bzj,1=钡
pcl,1=瞟
bok,1=啵
jyf,1=兢
yhh,1=殃
pmd,1=翩
ruo,1=蠕
dox,1=惰
plr,1=徘
mxc,1=蔑
mcp,1=邈
kgk,1=吭
wjc,1=菀
lqq,1=熘
vjp,1=毡
iep,1=掣
uex,1=慑
igo,1=蛏
ail,1=暧
wjo,1=蜿
ypx,1=恽
vfg,1=箴
dek,1=嘚
spc,1=荪
ugl,1=昇
kdk,1=哐
mjs,1=馒
bns,1=髌
kjl,1=瞰
log,1=箩
xum,1=栩
ufq,1=燊
ikl,1=晁
uji,1=缮
gji,1=绀
tyo,1=蜓
jsl,1=炅
thf,1=搪
anm,1=桉
cgk,1=噌
lcc,1=蓼
vuf,1=拄
jru,1=涓
piw,1=琵
tij,1=锑
xdv,1=骧
nxk,1=啮
gvq,1=炔
jsb,1=窘
qcj,1=锹
ija,1=谗
sup,1=夙
klf,1=揩
lnk,1=啉
mji,1=缦
vib,1=窒
quo,1=蛆
ujq,1=煽
lsy,1=胧
naf,1=捺
yhl,1=旸
kyc,1=蒯
lci,1=缭
bmo,1=蝙
zek,1=啧
iyk,1=啜
cvw,1=璀
dxg,1=鲽
llg,1=籁
kve,1=隗
gkl,1=杲
xpg,1=鲟
dmj,1=钿
tho,1=螳
hps,1=馄
sij,1=锶
kwf,1=挎
svq,1=燧
ipo,1=蝽
doz,1=跺
jxk,1=嗟
mgy,1=朦
bin,1=婢
ijx,1=忏
jmp,1=犍
nku,1=淖
xqg,1=岫
plk,1=哌
iff,1=抻
nmg,1=鲇
ukc,1=苕
gwd,1=褂
cob,1=磋
yst,1=墉
fjt,1=畈
sej,1=铯
skz,1=瘙
zsh,1=鬃
thw,1=瑭
qyg,1=鲭
dib,1=砥
rbc,1=鞣
tru,1=湍
kpj,1=锟
yro,1=螈
faw,1=珐
tal,1=遢
zjg,1=簪
ant,1=垵
wzz,1=痿
miv,1=猕
xsu,1=汹
csm,1=枞
qqo,1=虬
lbz,1=瘘
xmu,1=涎
xyf,1=擤
xwb,1=硖
hrv,1=獾
qyt,1=磬
bha,1=谤
igj,1=铖
jrj,1=镌
ifm,1=郴
byf,1=摒
ssx,1=悚
dmr,1=佃
yrw,1=瑗
ykt,1=垚
mjj,1=幔
dlt,1=埭
hew,1=劾
dsg,1=峒
pgk,1=嘭
jnq,1=烬
txc,1=萜
spm,1=榫
ljw,1=斓
wfq,1=炆
myo,1=螟
qqm,1=楸
nox,1=懦
dpx,1=惇
dmq,1=靛
xpw,1=珣
rhf,1=攘
nvj,1=钕
yyk,1=郢
cak,1=嚓
qiz,1=蹊
dij,1=镝
bgd,1=迸
gop,1=虢
hjp,1=鼾
lsk,1=咙
sod,1=羧
lhm,1=榔
vea,1=谪
fjw,1=璠
vio,1=蜘
lbg,1=篓
isx,1=憧
vho,1=蟑
ncp,1=袅
hrz,1=痪
glu,1=溉
vor,1=倬
ujc,1=苫
bjc,1=靽
erw,1=珥
iuu,1=滁
drm,1=椴
hum,1=槲
nlp,1=氖
bij,1=铋
hgc,1=蘅
hrn,1=嬛
nxp,1=臬
buj,1=钚
uui,1=纾
qsh,1=邛
ueb,1=赊
tmy,1=腆
vbi,1=纣
yno,1=蚓
gpc,1=辊
wji,1=绾
yap,1=氩
vbx,1=帚
enc,1=蒽
cll,1=睬
vgx,1=怔
ykg,1=鳐
war,1=佤
hvw,1=珲
pij,1=铍
ysl,1=颙
kkj,1=铐
mkw,1=瑁
lcl,1=瞭
fuz,1=跗
hrd,1=豢
rkm,1=桡
mnx,1=悯
qmt,1=墘
yij,1=铱
lho,1=螂
jqz,1=疚
qyo,1=蜻
bau,1=灞
jtm,1=桷
sbc,1=薮
ipc,1=莼
tag,1=鳎
gwk,1=剐
nor,1=傩
zpg,1=鳟
ihg,1=鲳
trt,1=疃
zil,1=眦
tbs,1=骰
csv,1=骢
isv,1=翀
gup,1=鹄
yjo,1=蝘
rjh,1=髯
vsm,1=柊
tsb,1=砼
ipw,1=鹑
bfp,1=犇
iju,1=潺
gba,1=诟
grw,1=瓘
pio,1=蜱
ble,1=稗
vrs,1=馔
svv,1=祟
ihc,1=苌
djx,1=惮
dsp,1=氡
cvu,1=淬
whx,1=惘
sug,1=稣
cuz,1=蹴
seh,1=啬
iaa,1=诧
jxz,1=疖
rud,1=褥
zzg,1=鲗
uhg,1=觞
vfb,1=赈
phr,1=彷
woc,1=莴
goy,1=腘
hbs,1=骺
jwm,1=枷
zua,1=诅
taj,1=铊
gom,1=椁
hoj,1=镬
dpl,1=盹
hok,1=嚯
mgo,1=虻
bob,1=砵
nfr,1=恁
ilp,1=豺
uaz,1=痧
nmh,1=辇
zhv,1=奘
rkn,1=娆
iau,1=汊
ufa,1=谂
tmm,1=阗
uja,1=讪
hsm,1=闳
pic,1=芘
qsc,1=芎
bcv,1=骠
yyz,1=瘿
yhc,1=鞅
njs,1=囡
rjc,1=苒
xyc,1=荥
bgk,1=嘣
wun,1=妩
hjo,1=蚶
nbh,1=耨
ykm,1=杳
jcj,1=铰
tuj,1=钍
fhl,1=昉
bie,1=陛
mys,1=酩
ljj,1=镧
lmm,1=楝
fgb,1=砜
fhg,1=鲂
xdx,1=庠
xqw,1=琇
bjj,1=钣
voc,1=茁
jxb,1=碣
irm,1=椽
dcb,1=碉
pyg,1=鲆
gsw,1=珙
lqs,1=馏
ybo,1=蚴
mop,1=貊
zri,1=缵
tkg,1=弢
mkg,1=峁
ypt,1=鋆
dax,1=怛
gei,1=纥
cuh,1=蹙
duh,1=蠹
rhe,1=穰
suk,1=嗉
mjn,1=嫚
ufh,1=蜃
kvo,1=蝰
aii,1=欸
xxi,1=缬
tjj,1=钽
xpt,1=埙
eej,1=锷
zgd,1=甑
iio,1=螭
hrs,1=圜
nig,1=鲵
ish,1=舂
xxw,1=亵
dys,1=酊
myu,1=溟
vfi,1=缜
juw,1=琚
jqm,1=柩
llr,1=徕
tjd,1=袒
fuk,1=呋
ilz,1=瘥
tgd,1=誊
lhk,1=啷
gvn,1=妫
kyy,1=脍
vhv,1=獐
yam,1=桠
coz,1=痤
ihm,1=阊
mja,1=谩
hux,1=惚
ggk,1=哽
eex,1=愕
quw,1=璩
hdr,1=徨
boz,1=跛
rfi,1=纫
tjq,1=郯
yis,1=饴
gbi,1=缑
trf,1=抟
ton,1=鸵
tlz,1=跆
ruj,1=铷
tob,1=砣
ius,1=黜
lzw,1=羸
drq,1=煅
dej,1=锝
xuw,1=顼
lyo,1=蛉
rfc,1=荏
kpq,1=焜
ghw,1=戆
uoc,1=蒴
lkz,1=痨
lsb,1=窿
hbd,1=鲎
gwy,1=胍
mff,1=扪
zlv,1=甾
nkh,1=孬
gez,1=疙
viv,1=彘
jmi,1=缄
hsw,1=竑
dof,1=掇
maz,1=孖
